228daab4-9b7c-11e6-9f33-a24fc0d9649c,Baby Products (Excluding Apparel)
228dae92-9b7c-11e6-9f33-a24fc0d9649c,Beauty
228db07c-9b7c-11e6-9f33-a24fc0d9649c,Books
228db20c-9b7c-11e6-9f33-a24fc0d9649c,Business Products (B2B)
228db784-9b7c-11e6-9f33-a24fc0d9649c,Camera & Photo
228dba68-9b7c-11e6-9f33-a24fc0d9649c,Cell Phones
228dbbf8-9b7c-11e6-9f33-a24fc0d9649c,Clothing & Accessories
228dbd74-9b7c-11e6-9f33-a24fc0d9649c,Collectible Coins
228dbedc-9b7c-11e6-9f33-a24fc0d9649c,Collectibles (Books)
228dc058-9b7c-11e6-9f33-a24fc0d9649c,Collectibles (Entertainment)
228dc1de-9b7c-11e6-9f33-a24fc0d9649c,Electronics (Accessories)
228dc76a-9b7c-11e6-9f33-a24fc0d9649c,Electronics (Consumer)
228dc904-9b7c-11e6-9f33-a24fc0d9649c,Fine Art
228dca8a-9b7c-11e6-9f33-a24fc0d9649c,Grocery & Gourmet Food
228dcbfc-9b7c-11e6-9f33-a24fc0d9649c,Handmade
228dcd78-9b7c-11e6-9f33-a24fc0d9649c,Health & Personal Care
228dceea-9b7c-11e6-9f33-a24fc0d9649c,Historical & Advertising Collectibles
228dd3a4-9b7c-11e6-9f33-a24fc0d9649c,Home & Garden
228dd5b6-9b7c-11e6-9f33-a24fc0d9649c,Industrial & Scientific
228dd75a-9b7c-11e6-9f33-a24fc0d9649c,Jewelry
